id,spec,stratum,section,field,text,obligation,syntax,meaning,paper2,heuristic_syntax,heuristic_meaning,heuristic_paper2,heuristic_agree
0,gpp-string,prose,About the Global Privacy Protocol String,,This document specifies how that string must be formatted and how it must be used.,obligation,S1,M0,B,S0,M0,X,0
1,gpp-string,prose,Who should create a GPP String?,,Vendors or any other third-party service providers must neither create nor alter GPP Strings.,obligation,S0,M1,D,S0,M1,D,1
2,gpp-string,prose,Creating a GPP String,,For sections that use the recommended encoding mechanism: Create a bit representation of the section's header (if it exists).,recommendation,S1,M0,B,S1,M0,B,1
3,gpp-string,prose,Creating a GPP String,,Note that neither the header nor the recommended encoding mechanism for a discrete section utilizes base64 encoding but rather a modified version of it.,recommendation,S0,M0,X,S1,M0,B,0
4,gpp-string,prose,GPP String Format,,The string must contain a header and applicable discrete section(s): [Header]~[Discrete Section],obligation,S1,M0,A,S1,M0,B,0
5,gpp-string,prose,Header,,The header is always required and comes first.,obligation,S1,M0,A,S1,M0,B,0
6,gpp-string,prose,Header,,The header delegates regional policy versions and technical encoding versions to each substring section so that each may develop independently of each other and the header design. (See Discrete Sections below),permission,S0,M0,X,S1,M0,B,0
7,gpp-string,prose,Header Encoding,,The Header is always required and always comes first.,obligation,S1,M0,A,S1,M0,B,0
8,gpp-string,field-desc,Header Encoding,Sections,The IDs must be represented in the order the related sections appear in the string.,obligation,S2,M0,B,S2,M0,B,1
9,gpp-string,field-desc,Header Encoding,Sections,This is required to make real-time string processing less resource intensive.,obligation,S0,M0,X,S0,M0,X,1
10,gpp-string,prose,Discrete Sections,,"For example, if TCF needs a version 3 and eliminates the concept of “out of band” vendors—which would result in the removal of DisclosedVendors and AllowedVendors—that should not require a version bump to the GPP string specification.",recommendation,S0,M0,X,S0,M0,X,1
11,gpp-string,prose,Section Encoding,,New sections should follow the guidelines below.,recommendation,S0,M0,X,S1,M0,B,0
12,gpp-string,field-desc,Section Encoding,Range (Int),"variable Array of Number A range field always consists of the following fields: int(12) - representing the amount of items to follow (per item) Boolean - representing whether the item is a single ID (0/false) or a group of IDs (1/true) (per item) int(16) - representing a) the single ID or b) the start ID in case of a group (per item + only if group) int(16) - representing the end ID of the group Example: int(12) = 2 // 2 items Bool = 0 // item 1 is type single ID int(16) = 3 // ID of item 1 Bool = 1 // item 2 is type group int(16) = 5 // item 2 start ID int(16) = 8 // item 2 end ID Range = [3,5,6,7,8] Bits = 000000000010 0 0000000000000011 1 0000000000000101 0000000000001000 Note: items may not be in sorted order.",permission,S1,M0,B,S1,M0,B,1
13,gpp-string,field-desc,Section Encoding,Range (Fibonacci),"variable Array of Number A range field always consists of the following fields: int(12) - representing the amount of items to follow (per item) Boolean - representing whether the item is a single ID (0/false) or a group of IDs (1/true) (per item) int(Fibonacci) - representing a) the offset to a single ID or b) the offset to the start ID in case of a group (the offset is from the last seen number, or 0 for the first entry) (per item + only if group) int(Fibonacci) - length of the group Example: int(12) = 2 // 2 items Bool = 0 // item 1 is type single ID int(Fibonacci) = 3 // ID of item 1 Bool = 1 // item 2 is type group int(Fibonacci) = 2 // offset to last ID (3+2 = 5 is first ID) int(Fibonacci) = 3 // length of group (5+3 =>8 is last ID) Range = [3,5,6,7,8] Bits = 000000000010 0 0011 1 011 0011 Note: items MUST be in sorted order..",obligation,S1,M0,B,S2,M0,B,0
14,gpp-string,field-desc,Section Encoding,OptimizedIntRange,OptimizedRange is the recommended data type to be used moving forward.,recommendation,S0,M0,X,S1,M0,B,0
15,gpp-string,prose,Section Encoding,,"When defining a new section, regional policy writers should consider the above format to describe their section.",recommendation,S0,M0,X,S0,M0,X,1
16,gpp-string,prose,Section Encoding,,Policy writers must ensure that each field within the section has a name that is unique for this section.,obligation,S0,M0,X,S0,M0,X,1
17,gpp-string,prose,Section Encoding,,"When using multiple sub-sections within the section, field names with similar meanings (such as ""type"" or ""version"") shall be prefixed in order to be unique for the section (e.g.",obligation,S0,M0,X,S0,M0,X,1
18,gpp-string,prose,Section Encoding,,> Note: It is recommended to use Field names in CamelCase and without any special characters or space.,recommendation,S0,M0,X,S0,M0,X,1
19,gpp-string,prose,GPP Identifier,,There are already existing vendor lists (see note with non-exhaustive list below) on which the same business entity may appear.,permission,S0,M1,X,S0,M0,X,0
20,gpp-string,prose,GPP Identifier,,Frameworks that are supported by the GPP must retrieve their IDs from the IAB Tech Lab Tools Portal.,obligation,S0,M1,X,S0,M1,D,0
21,gpp-string,prose,"I’m a vendor, how do I get a GPP identifier?",,Vendors should decide which framework signals they plan to participate in to determine which list registrations may be required.,obligation,S0,M1,X,S0,M1,X,1
22,gpp-string,prose,"I’m a vendor, how do I get a GPP identifier?",,Vendors looking to register for the TCF EU GVL or TCF Canada GVL should do so on this registration portal.,recommendation,S0,M1,X,S0,M1,X,1
23,gpp-string,prose,"I’m a vendor, how do I get a GPP identifier?",,Vendors looking to sign the MSPA may do so at the IAB Tech Lab Tools Portal.,permission,S0,M1,X,S0,M1,X,1
24,gpp-string,prose,"I’m a vendor and I already have an GVL ID, is there anything that I need to do?",,"However, you may still need to complete registration to participate in a specific framework.",permission,S0,M1,X,S1,M0,B,0
